,son,daughter,father,mother,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,murder,suicide,illness
1869,0.00038435332552979614,0.00019217666276489807,0.0006638830168241933,0.0008036478624713918,1.7470605705899825e-05,0.00012229423994129877,6.114711997064938e-05,7.86177256765492e-05,0.00016597075420604832,6.98824228235993e-05,0.0001572354513530984,14.0,2.0,2.0
1870,0.00031056457055489526,0.00011347551616428866,0.0004359848778943722,0.000382233317606025,8.95859338139121e-05,5.673775808214433e-05,7.465494484492675e-05,0.00010750312057669452,0.00013437890072086814,0.00011646171395808572,0.00030160597717350404,14.0,4.0,24.0
1871,0.0001876206673243477,0.0002057775060976717,0.00041760729178645135,0.00041760729178645135,8.775805407106587e-05,5.1444376524417924e-05,8.473191427551186e-05,0.00010288875304883585,9.381033366217386e-05,7.867963468440388e-05,0.0001876206673243477,2.0,6.0,18.0
1872,0.00031245707082270483,0.0002154876350501413,0.0003393930252039725,0.0004848471788628179,6.464629051504238e-05,8.080786314380297e-05,4.5791122448155025e-05,0.00012929258103008476,9.158224489631005e-05,0.00012390539015383123,0.00012390539015383123,26.0,20.0,16.0
1873,0.00021008987521279324,0.00016065696339801836,0.00027497057196968524,0.0003676572816223882,0.00012512705803114892,8.959715266427947e-05,0.00014211962146747778,0.0002533436730507213,9.732104513533804e-05,9.114193115849119e-05,0.00029041835691180244,14.0,8.0,32.0
1874,0.0001639669288743252,0.0002191802824748633,0.00025431605294793297,0.0003112025384757601,0.00013552368611041165,9.285882196454131e-05,0.00022085341440215232,0.00036725245803994266,0.00011879236683752132,0.00014639904363779037,0.0004659672417499956,26.0,24.0,82.0
1875,0.00017927256708356477,0.00012564402137480606,0.00020225622953017562,0.00029878761180594126,0.00014939380590297063,0.00013560360843500413,0.0002604815077282565,0.00019842561912240716,0.00014326482925054108,0.00015015992798452434,0.00035318227959625365,22.0,8.0,86.0
1876,0.00014922938638958587,0.0001538566541846118,0.00022673612195627,0.0003019292236254412,0.00016658164062093307,0.00011510328640126972,0.00012840668131196923,0.0003129189846386277,0.0001787282185828761,0.00017294413383909371,0.00026953834906025975,84.0,36.0,104.0
1877,0.0001767934861422217,0.00018026002508618683,0.000255368368872098,0.0002565238818534197,0.00020279252822196018,0.00011670681111349275,9.995187288432795e-05,0.00018603758999279538,0.00012363988900142303,0.00011266251567886677,0.00024092445660557662,82.0,22.0,168.0
1878,0.0002166806630662539,0.00018154325824469922,0.0002600167956795047,0.00033849033311431016,0.0001499195939053,0.00012473778711651916,0.00010482659105097149,8.667226522650157e-05,0.00012766590418498205,0.00011126844860158985,0.00013820712563144844,92.0,44.0,80.0
1879,0.00021094665631110355,0.00016521696158631886,0.00031420725730255285,0.0003628872549128075,0.00012833817551794412,0.00012760059979657662,9.588484377777434e-05,0.00012243756974700414,0.00013350120556751658,0.000141614538502559,0.00022938604934529092,72.0,20.0,98.0
1880,0.00020124882080769057,0.0001832801760927182,0.00027312339966758007,0.0003521854364134585,8.085890121737567e-05,9.343695251785634e-05,5.2109069673419885e-05,0.00012218678406181212,7.906203674587844e-05,0.00017249898926373477,0.00026054534836709943,18.0,6.0,34.0
1882,0.0004021717273275689,0.00017235931171181524,0.0005745310390393841,0.0005170779351354457,5.745310390393841e-05,2.8726551951969206e-05,2.8726551951969206e-05,0.0,2.8726551951969206e-05,0.0,2.8726551951969206e-05,0.0,0.0,0.0
