,Mrs,Miss,divorce,Rogers,Eglinton,Weldon,Wilkinson
1869,0.0010307657366480896,0.00020091196561784796,0.0,0.0,0.0,0.0,17.0
1870,0.0014214301498474053,0.0003792471198122279,5.97239558759414e-06,7.0,0.0,1.0,27.0
1871,0.0017823963395813033,0.00046905166831086927,1.2104559182215981e-05,6.0,0.0,0.0,50.0
1872,0.0014114440095784253,0.0011178421068226078,0.0,17.0,0.0,0.0,28.0
1873,0.0014938008039027284,0.0009994716857549795,3.08955698842343e-06,37.0,0.0,0.0,4.0
1874,0.0021943125226395665,0.0011343834467019641,0.0,55.0,0.0,0.0,10.0
1875,0.0027442492961253376,0.001018942368466415,4.596732489322173e-06,188.0,0.0,1.0,12.0
1876,0.0022951248263328554,0.0008814945149524375,9.254535590051837e-06,328.0,253.0,266.0,42.0
1877,0.0019470393735270821,0.0006453540000681753,4.622051925286842e-06,120.0,243.0,272.0,4.0
1878,0.001801963243932063,0.0008309996240297684,7.027480964310938e-06,141.0,220.0,191.0,4.0
1879,0.0015621853778563543,0.0008895163199691988,5.9006057709399595e-06,58.0,91.0,200.0,4.0
1880,0.0012667894524055524,0.0006540586676249944,7.187457885988949e-06,12.0,53.0,72.0,1.0
1882,0.001407601045646491,0.00043089827927953806,0.0,0.0,0.0,4.0,0.0
